'Transaction_ID', 'User_ID', 'Merchant_Name', 'Txn_Category', 'Amt', 'Approved_Amt', 'Rejected_Amt', 'Txn_Type', 'Txn_Wallet', 'Txn_Status', 'Bill_Uploaded_Date', 'Claim_Raised_Date', 'Bill_Approved_Date', 'Rejection_Reason', 'Txn_Year', 'Txn_Month', 'Txn_Date', 'Rebate_Eligibility', 'Fuel_Surcharge', 'Rebate_Amount', 'Type', 'Manual_Txn', 'Approval_Status', 'SubmittedAt', 'ReimbursedAt', 'CancelledAt'
"cd172b1b-c84d-481f-b8d1-4fa45ec639f2","01016334-2379-491f-acb6-ebcc5b0c2d97","Shree Mithai P Ltd Cheenai Tnin","Food/Provisions","0.0","0.0","0.0","DEBIT","FBA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-25","true","false","0.0","T","false","BILL UPLOAD PENDING","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"784604b3-10ad-4ebc-a1f6-a0762e760ece","3078ff95-fc4e-445a-94b9-71c0736edf41","Chai Kings Chennai Tmin","Food/Provisions","0.0","160.0","0.0","DEBIT","FBA","SUCCESS","2022-08-26 17:27:14.411","1970-01-01 05:30:00.0","2022-08-30 17:11:57.891","","2022","AUGUST","2022-08-26","true","false","48.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"f394f6db-3519-4bf4-8b32-2993c0d8d514","3078ff95-fc4e-445a-94b9-71c0736edf41","TA Credited","Other","0.0","0.0","0.0","CREDIT","TA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-26","false","false","0.0","T","false","","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"943b537b-54b0-4d88-8d64-5de23fc69417","95741f52-7d37-4176-947a-3def3c34396c","TA Credited","Other","0.0","0.0","0.0","CREDIT","TA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-26","false","false","0.0","T","false","","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"415296aa-3e7e-4373-abae-1c9af70e60b1","95741f52-7d37-4176-947a-3def3c34396c","FBA Credited","Other","0.0","0.0","0.0","CREDIT","FBA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-26","false","false","0.0","T","false","","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"a2d697a1-6822-4994-a7d7-810ef3e9e262","3078ff95-fc4e-445a-94b9-71c0736edf41","FBA Credited","Other","0.0","0.0","0.0","CREDIT","FBA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-26","false","false","0.0","T","false","","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"1a1a43cf-d42e-4384-8739-2a8f3944c5ae","01016334-2379-491f-acb6-ebcc5b0c2d97","FBA Credited","Other","0.0","0.0","0.0","CREDIT","FBA","SUCCESS","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","","2022","AUGUST","2022-08-26","false","false","0.0","T","false","","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"53af3f24-635c-4ef8-a3b5-4bc2c1d9745e","3078ff95-fc4e-445a-94b9-71c0736edf41","Swiggy Bangalore Kain","Food/Provisions","0.0","481.0","0.0","DEBIT","FBA","SUCCESS","2022-08-27 08:44:36.365","1970-01-01 05:30:00.0","2022-08-30 17:10:42.36","","2022","AUGUST","2022-08-26","true","false","144.3","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"164bae85-51fa-4908-ac01-37c3eeebe589","3078ff95-fc4e-445a-94b9-71c0736edf41","Idumban Service Stationchennai Tnin","Fuel & Travel","0.0","3000.0","0.0","DEBIT","FBA","SUCCESS","2022-08-26 22:09:37.154","1970-01-01 05:30:00.0","2022-08-30 17:09:21.341","","2022","AUGUST","2022-08-26","true","false","900.0","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
"a77763a0-1203-4618-a8b0-c71923d71a6a","95741f52-7d37-4176-947a-3def3c34396c","Zomatoprivatelimited Gurgaon Hrin","Food/Provisions","0.0","263.0","0.0","DEBIT","FBA","SUCCESS","2022-08-26 23:49:11.828","1970-01-01 05:30:00.0","2022-08-30 17:07:36.749","","2022","AUGUST","2022-08-26","true","false","52.6","T","false","APPROVED","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0","1970-01-01 05:30:00.0"
